rec-fu,Recommendation follow-up
re-fu,RE follow-up
tc-fu,TC follow-up
adjustment,Adjustment
kc,KC with Tier 1
guidebook-2016,Guidebook 2016 Finding
ne,Not Estimated
ptc,Potential technical correction (PTC)
recalc-prev,Recalculation (compared to previous year submission)
recalc-same,Recalculation (compared to same year submission)
tsi,Time series inconsistency
unece,UNECE recommendation
nsms,Not sent to Member State
tc,Technical Correction (TC)
rev-est,Revised Estimate
recommendation,Recommendation
unquantified-potential-technical-correction,Unquantified Potential Technical Correction
priority-recommendation,Priority recommendation
