round,geocode,name,infection_time,degree,seed,seedname
0,1 ,Alachua ,False, 64, 86, Miami-Dade
0,3 ,Baker ,False, 50, 86, Miami-Dade
0,5 ,Bay ,False, 54, 86, Miami-Dade
0,7 ,Bradford ,False, 58, 86, Miami-Dade
0,9 ,Brevard ,False, 65, 86, Miami-Dade
0,11 ,Broward ,False, 64, 86, Miami-Dade
0,13 ,Calhoun ,False, 46, 86, Miami-Dade
0,15 ,Charlotte ,False, 53, 86, Miami-Dade
0,17 ,Citrus ,False, 52, 86, Miami-Dade
0,19 ,Clay ,False, 53, 86, Miami-Dade
0,21 ,Collier ,False, 52, 86, Miami-Dade
0,23 ,Columbia ,False, 60, 86, Miami-Dade
0,27 ,DeSoto ,False, 49, 86, Miami-Dade
0,29 ,Dixie ,False, 41, 86, Miami-Dade
0,31 ,Duval ,False, 62, 86, Miami-Dade
0,33 ,Escambia ,False, 64, 86, Miami-Dade
0,35 ,Flagler ,False, 35, 86, Miami-Dade
0,37 ,Franklin ,False, 49, 86, Miami-Dade
0,39 ,Gadsden ,False, 52, 86, Miami-Dade
0,41 ,Gilchrist ,False, 44, 86, Miami-Dade
0,43 ,Glades ,False, 20, 86, Miami-Dade
0,45 ,Gulf ,False, 52, 86, Miami-Dade
0,47 ,Hamilton ,False, 55, 86, Miami-Dade
0,49 ,Hardee ,False, 37, 86, Miami-Dade
0,51 ,Hendry ,False, 39, 86, Miami-Dade
0,53 ,Hernando ,False, 51, 86, Miami-Dade
0,55 ,Highlands ,False, 52, 86, Miami-Dade
0,57 ,Hillsborough ,False, 64, 86, Miami-Dade
0,59 ,Holmes ,False, 45, 86, Miami-Dade
0,61 ,Indian River ,False, 50, 86, Miami-Dade
0,63 ,Jackson ,False, 60, 86, Miami-Dade
0,65 ,Jefferson ,False, 46, 86, Miami-Dade
0,67 ,Lafayette ,False, 38, 86, Miami-Dade
0,69 ,Lake ,False, 60, 86, Miami-Dade
0,71 ,Lee ,False, 60, 86, Miami-Dade
0,73 ,Leon ,False, 62, 86, Miami-Dade
0,75 ,Levy ,False, 48, 86, Miami-Dade
0,77 ,Liberty ,False, 42, 86, Miami-Dade
0,79 ,Madison ,False, 56, 86, Miami-Dade
0,81 ,Manatee ,False, 53, 86, Miami-Dade
0,83 ,Marion ,False, 65, 86, Miami-Dade
0,85 ,Martin ,False, 50, 86, Miami-Dade
0,86 ,Miami-Dade ,False, 66, 86, Miami-Dade
0,87 ,Monroe ,False, 45, 86, Miami-Dade
0,89 ,Nassau ,False, 37, 86, Miami-Dade
0,91 ,Okaloosa ,False, 54, 86, Miami-Dade
0,93 ,Okeechobee ,False, 45, 86, Miami-Dade
0,95 ,Orange ,False, 64, 86, Miami-Dade
0,97 ,Osceola ,False, 50, 86, Miami-Dade
0,99 ,Palm Beach ,False, 65, 86, Miami-Dade
0,101 ,Pasco ,False, 62, 86, Miami-Dade
0,103 ,Pinellas ,False, 64, 86, Miami-Dade
0,105 ,Polk ,False, 66, 86, Miami-Dade
0,107 ,Putnam ,False, 50, 86, Miami-Dade
0,113 ,Santa Rosa ,False, 58, 86, Miami-Dade
0,115 ,Sarasota ,False, 56, 86, Miami-Dade
0,117 ,Seminole ,False, 57, 86, Miami-Dade
0,109 ,St. Johns ,False, 51, 86, Miami-Dade
0,111 ,St. Lucie ,False, 58, 86, Miami-Dade
0,119 ,Sumter ,False, 56, 86, Miami-Dade
0,121 ,Suwannee ,False, 55, 86, Miami-Dade
0,123 ,Taylor ,False, 55, 86, Miami-Dade
0,125 ,Union ,False, 55, 86, Miami-Dade
0,127 ,Volusia ,False, 61, 86, Miami-Dade
0,129 ,Wakulla ,False, 52, 86, Miami-Dade
0,131 ,Walton ,False, 52, 86, Miami-Dade
0,133 ,Washington ,False, 44, 86, Miami-Dade
