seed,name,size,infected_sites,spreadtime,median_survival,totvaccinated,totquarantined,seeddeg,seedpop
4550603,Rodoviaria,335951.6834675169,39,0,NA,0,0,130,1871.0
4550603,Rodoviaria,0,0,0,NA,0,0,130,1871.0
4550603,Rodoviaria,0,0,0,NA,0,0,130,1871.0
4550603,Rodoviaria,335951.6834675169,39,0,NA,0,0,130,1871.0
4550603,Rodoviaria,335951.6834675169,40,0,NA,0,0,130,1871.0
4550603,Rodoviaria,335951.6834675169,40,0,NA,0,0,130,1871.0
4550603,Rodoviaria,0,0,0,NA,0,0,130,1871.0
4550603,Rodoviaria,5790527.937726143,40,0,NA,0,0,130,1871.0
4550603,Rodoviaria,1409721.8400139818,40,0,NA,0,0,130,1871.0
4550603,Rodoviaria,1409721.8400139818,40,0,NA,0,0,130,1871.0
4550603,Rodoviaria,1409721.8400139818,40,0,NA,0,0,130,1871.0
4550603,Rodoviaria,nan,343,0,1,0,0,130,1871.0
4550603,Rodoviaria,nan,343,0,1,0,0,130,1871.0
4550603,Rodoviaria,nan,343,0,1,0,0,130,1871.0
4550603,Rodoviaria,nan,343,0,1,0,0,130,1871.0
4550603,Rodoviaria,nan,343,0,1,0,0,130,1871.0
4550603,Rodoviaria,nan,343,0,1,0,0,130,1871.0
4550603,Rodoviaria,nan,343,0,1,0,0,130,1871.0
4550603,Rodoviaria,nan,343,0,1,0,0,130,1871.0
4550603,Rodoviaria,nan,343,0,1,0,0,130,1871.0
4550603,Rodoviaria,5551538.0,343,0,1,0,0,130,1871.0
4550603,Rodoviaria,5531247.345700254,343,0,1,0,0,130,1871.0
4550603,Rodoviaria,-99.97725227621079,684,0,0,0,0,130,1871.0
4550603,Rodoviaria,-99.97725227621079,684,0,0,0,0,130,1871.0
4550603,Rodoviaria,-99.97725227621079,684,0,0,0,0,130,1871.0
