ID	NAValues
13	-1,-3
14	-1,-3
37	-1,-3
90	-3
101	-1
402	0
480	-818
485	-1
486	-121,-818
493	-121
496	-818
946	-818
1001	-1,-3
1010	-11,-13,-21,-23
100002	111
100256	6,7
100260	3,6,7
100261	-1,4
100263	6,7
100270	6,7,9
100274	6,7
100282	9
100286	-3
100287	-3
100288	-1,-3
100289	-1,-3
100290	-1,-3
100291	-1,-3
100292	-3
100293	-1,-3
100294	-1,-3
100295	-3
100298	-1,-3
100299	-3
100300	-1,-3
100301	-1,-3
100305	-7,-3
100306	-1,-2,-3
100307	-1,-2,-3
100313	-3
100314	-1,-3
100316	-3
100317	-1,-3
100318	-1,-3
100327	-1,-3
100328	-3
100329	-1,-3
100334	-1,-3,5
100335	-1,-3
100336	-1,-3
100337	-1,-3
100338	-1,-3,3
100339	-1,-3
100341	-1,-3
100342	-1,-3
100343	-3
100345	-1,-3
100346	-1,-3
100347	-3
100348	-3
100349	-1,-3
100351	-3
100352	-3
100353	-1
100355	-1,-3
100356	-1,-3
100357	-3
100358	-3
100359	-3
100360	-3
100361	-1,-3
100369	-1,-3
100370	-3
100373	-1,-3
100377	-1,-3
100385	-3
100387	-1,-3
100388	-1,-3
100389	-1,-3
100391	-1,-3
100393	-1,-3
100394	-3
100397	-1,-3
100398	-3
100400	-3
100401	-1,-3
100402	-3
100416	-1,-3
100417	-1,-3
100418	-1,-3
100420	-1,-3
100428	-1,-3
100429	-1,-3
100430	-3
100431	-1,-3
100432	-1,-3
100434	-1,-3
100435	-1,-3
100478	-1,-3
100479	-1,-3
100484	-1,-3
100499	-1,-3
100500	-1,-3
100501	-1,-3
100502	-3
100504	-1,-3
100508	-1,-3
100510	-1,-3
100511	-1,-3
100514	-1,-3
100523	-1,-3
100536	-1,-3
100537	-1,-3
100538	-3
100539	-3
100540	-1,-3
100549	-1,-3
100550	-1,-3
100552	-1,-3
100553	-3
100563	-3
100564	-3
100567	-1,-3
100569	-1,-3
100570	-1,-3
100572	-1,-3
100579	-3
100582	-1,-3
100584	-3
100585	-1,-3
100586	-3,-4
100595	-1,-3
100598	-1,-3
100599	-3,-5
100603	-1,-3
100605	-3
100610	-3
100617	-1,-3
100622	-1,-3
100625	-1,-3
100626	-1,-3
100628	-1,-3
100629	-3,-7
100630	-1,-3
100631	-1,-3
100635	-1,-3
100636	-1,-3
100637	-1,-3
100639	-3
100643	-1,-3
100644	-1,-3
100645	-1,-3
100646	-1,-3
100647	-1,-3
100648	-1,-3
100649	-1,-3
100650	-1,-3
100651	-1,-3
100652	-1,-3
100653	-1,-3
100654	-1,-3
100655	-1,-3
100656	-1,-3
100657	-1,-3
100658	-3
100659	-1,-3
100662	-3
100663	-1,-3
100664	-1,-3
100668	-1
100669	-1,-3
100672	-3
100673	-1,-3
100674	-1,-3
100683	-1,-3
100685	-3
100686	-3
100688	-1,-3
100689	-1,-3
100690	-3
100691	-3
100692	-3
100698	-313
100699	1,99
