ID	RawLevels	NewLevels
488	-1001	0.5
489	9,0,1	0,1,2
493	0,-131,-141	1,2,3
494	-1520,-2030,-3040,4000	1,2,3,4
496	111,112,113,114	3,2,1,0
946	-1001	0.5
100001	555,1,200	0.5,1,2
100002	555,1,2,300	0.5,1,2,3
100003	555,1,2,300	0.5,1,2,3
100004	555,1,2,3,400	0.5,1,2,3,4
100005	444,555,1,2,3,4,500	0.25,0.5,1,2,3,4,5
100006	555,1,2,3,4,5,600	0.5,1,2,3,4,5,6
100007	1,2,3,4,5,600	1,2,3,4,5,6
100009	1,111	1,0.5
100011	0,10,1030,3060,12,24,46,600	0,0.0833333,0.333333,0.75,1.5,3,5,7
100012	0,1,13,35,57,79,912,1200	0,0.5,2,4,6,8,10.5,13.5
100016	555,1,2,3,4,500	0.5,1,2,3,4,5
100017	444,555,1,2,300	0.25,0.5,1,2,3
100271	0,3,2,1	0,1,2,3
100290	-10	0.5
100305	1,2,3,4,5,6	4,3,2,1,1,1
100334	1,2,3,4	0,1,2,3
100338	1,0,2	0,1,2
100345	1,2	2,1
100347	0,2,1	0,1,2
100402	1,2,3,4,5,6	5,4,3,2,1,0
100499	11,12,13	1,2,3
100605	-7	0
100635	0,14,13,12,11	0,1,2,3,4
100636	4,13,12,11	1,2,3,4
100637	0,13,12,11	0,0.5,3,7
