Metabolite,Compartment,Distribution
bigg.metabolite:adp,c,LogNormal|-7.418080877508257|0.09383355172907232
bigg.metabolite:amp,c,LogNormal|-7.643638091254398|0.0926341440041117
bigg.metabolite:atp,c,LogNormal|-5.731666215569511|0.08570213408493293
bigg.metabolite:glu__L,c,LogNormal|-3.2882570496785792|0.06927023770932111
bigg.metabolite:gln__L,c,LogNormal|-5.970283561369616|0.0799582000519379
bigg.metabolite:asn__L,c,LogNormal|-7.797440504964056|0.1011242180525506
bigg.metabolite:asp__L,c,LogNormal|-6.49472732718157|0.10807667089776891
bigg.metabolite:tyr__L,c,LogNormal|-9.795361639384094|0.15238174299990828
bigg.metabolite:arg__L,c,LogNormal|-5.199842397270292|0.13077077217478933
bigg.metabolite:ade,c,LogNormal|-12.08772384726167|0.11297217249592453
bigg.metabolite:phe__L,c,LogNormal|-9.541258404885404|0.1811731163491696
bigg.metabolite:gdp,c,LogNormal|-8.119276403779054|0.08845550237061738
bigg.metabolite:gmp,c,LogNormal|-10.126376526203055|0.40902938901332675
bigg.metabolite:gtp,c,LogNormal|-6.561400860685072|0.11672000752975117
bigg.metabolite:nad,c,LogNormal|-6.384865770755445|0.0973567687225256
bigg.metabolite:nadh,c,LogNormal|-7.692115713492749|4.241256363355429
bigg.metabolite:nadp,c,LogNormal|-11.679459981419697|0.028140744631550845
bigg.metabolite:nadph,c,LogNormal|-9.343778937509015|0.12132645550190099
bigg.metabolite:13dpg,c,LogNormal|-10.185520153887783|0.070815680804929
bigg.metabolite:2ddg6p,c,LogNormal|-11.661486455335215|2.435918638468179
bigg.metabolite:f6p,c,LogNormal|-8.30832475772316|0.0721745141578131
bigg.metabolite:dhap,c,LogNormal|-6.329142505560323|0.5246530459602344
bigg.metabolite:g6p,c,LogNormal|-7.426312874037067|0.09655743982955158
bigg.metabolite:6pgc,c,LogNormal|-9.963364178030204|0.14265793126430043
bigg.metabolite:pep,c,LogNormal|-7.775449668777972|0.15182563021489562
bigg.metabolite:pyr,c,LogNormal|-7.198996671085323|0.13622748269465454
bigg.metabolite:fdp,c,LogNormal|-6.745063943277237|0.17853974312241822
bigg.metabolite:e4p,c,LogNormal|-11.105587771143988|0.05650369351563708
bigg.metabolite:r5p,c,LogNormal|-9.383049202329204|2.209211663973631
bigg.metabolite:ru5p__D,c,LogNormal|-8.36893117088755|0.4001334668155556
bigg.metabolite:s7p,c,LogNormal|-7.181167714911403|0.1900149291899948
bigg.metabolite:xu5p__D,c,LogNormal|-8.46112469230807|0.5114797316586224
bigg.metabolite:cit,c,LogNormal|-7.63243339150165|0.13443594286035068
bigg.metabolite:akg,c,LogNormal|-7.633487736741501|0.07318844853680868
bigg.metabolite:fum,c,LogNormal|-7.264959796588628|0.192757839217597
bigg.metabolite:icit,c,LogNormal|-11.961040965106227|0.23119425554673845
bigg.metabolite:mal__L,c,LogNormal|-6.368988499227903|0.07969357771908166
bigg.metabolite:succ,c,LogNormal|-7.0105762395410105|0.1155065572533169
bigg.metabolite:camp,c,LogNormal|-12.565249322054587|0.17169955213563126
bigg.metabolite:f1p,c,LogNormal|-7.759838560502675|0.04347768308967578
bigg.metabolite:gal1p,c,LogNormal|-10.82339587287857|0.34716048991046644
bigg.metabolite:glyc3p,c,LogNormal|-8.454722320232547|0.13762613601234955
,c,LogNormal|-8.358485562929|2.0031220490567656
,p,LogNormal|-8.358485562929|10.015610245283828
,e,LogNormal|-8.358485562929|10.015610245283828
,,LogNormal|-8.358485562929|2.0031220490567656
